"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","AIREMISSION","NOX","KG_CAP","A","2000",98.775,
"AUS","AIREMISSION","NOX","KG_CAP","A","2001",102.112,
"AUS","AIREMISSION","NOX","KG_CAP","A","2002",105.151,
"AUS","AIREMISSION","NOX","KG_CAP","A","2003",108.094,
"AUS","AIREMISSION","NOX","KG_CAP","A","2004",109.387,
"AUS","AIREMISSION","NOX","KG_CAP","A","2005",108.746,
"AUS","AIREMISSION","NOX","KG_CAP","A","2006",107.408,
"AUS","AIREMISSION","NOX","KG_CAP","A","2007",105.829,
"AUS","AIREMISSION","NOX","KG_CAP","A","2008",106.223,
"AUS","AIREMISSION","NOX","KG_CAP","A","2009",103.459,
"AUS","AIREMISSION","NOX","KG_CAP","A","2010",105.636,
"AUS","AIREMISSION","NOX","KG_CAP","A","2011",100.627,
"AUS","AIREMISSION","NOX","KG_CAP","A","2012",106.465,
"AUS","AIREMISSION","NOX","KG_CAP","A","2013",107.796,
"AUS","AIREMISSION","NOX","KG_CAP","A","2014",107.098,
"AUS","AIREMISSION","NOX","KG_CAP","A","2015",105.791,
"AUS","AIREMISSION","NOX","KG_CAP","A","2016",106.678,
"AUS","AIREMISSION","NOX","KG_CAP","A","2017",108.299,
"AUS","AIREMISSION","NOX","KG_CAP","A","2018",109.319,
"AUT","AIREMISSION","NOX","KG_CAP","A","2000",25.987,
"AUT","AIREMISSION","NOX","KG_CAP","A","2001",27.216,
"AUT","AIREMISSION","NOX","KG_CAP","A","2002",28.024,
"AUT","AIREMISSION","NOX","KG_CAP","A","2003",29.271,
"AUT","AIREMISSION","NOX","KG_CAP","A","2004",29.044,
"AUT","AIREMISSION","NOX","KG_CAP","A","2005",29.609,
"AUT","AIREMISSION","NOX","KG_CAP","A","2006",28.302,
"AUT","AIREMISSION","NOX","KG_CAP","A","2007",27.282,
"AUT","AIREMISSION","NOX","KG_CAP","A","2008",25.585,
"AUT","AIREMISSION","NOX","KG_CAP","A","2009",23.838,
"AUT","AIREMISSION","NOX","KG_CAP","A","2010",23.841,
"AUT","AIREMISSION","NOX","KG_CAP","A","2011",22.748,
"AUT","AIREMISSION","NOX","KG_CAP","A","2012",22.016,
"AUT","AIREMISSION","NOX","KG_CAP","A","2013",21.778,
"AUT","AIREMISSION","NOX","KG_CAP","A","2014",20.627,
"AUT","AIREMISSION","NOX","KG_CAP","A","2015",20.126,
"AUT","AIREMISSION","NOX","KG_CAP","A","2016",19.251,
"AUT","AIREMISSION","NOX","KG_CAP","A","2017",18.147,
"AUT","AIREMISSION","NOX","KG_CAP","A","2018",16.757,
"BEL","AIREMISSION","NOX","KG_CAP","A","2000",34.235,
"BEL","AIREMISSION","NOX","KG_CAP","A","2001",32.923,
"BEL","AIREMISSION","NOX","KG_CAP","A","2002",31.595,
"BEL","AIREMISSION","NOX","KG_CAP","A","2003",31.056,
"BEL","AIREMISSION","NOX","KG_CAP","A","2004",31.813,
"BEL","AIREMISSION","NOX","KG_CAP","A","2005",30.18,
"BEL","AIREMISSION","NOX","KG_CAP","A","2006",28.466,
"BEL","AIREMISSION","NOX","KG_CAP","A","2007",27.312,
"BEL","AIREMISSION","NOX","KG_CAP","A","2008",24.593,
"BEL","AIREMISSION","NOX","KG_CAP","A","2009",21.819,
"BEL","AIREMISSION","NOX","KG_CAP","A","2010",21.74,
"BEL","AIREMISSION","NOX","KG_CAP","A","2011",20.079,
"BEL","AIREMISSION","NOX","KG_CAP","A","2012",18.958,
"BEL","AIREMISSION","NOX","KG_CAP","A","2013",17.978,
"BEL","AIREMISSION","NOX","KG_CAP","A","2014",17.015,
"BEL","AIREMISSION","NOX","KG_CAP","A","2015",16.974,
"BEL","AIREMISSION","NOX","KG_CAP","A","2016",15.942,
"BEL","AIREMISSION","NOX","KG_CAP","A","2017",14.914,
"BEL","AIREMISSION","NOX","KG_CAP","A","2018",14.369,
"CAN","AIREMISSION","NOX","KG_CAP","A","2000",94.065,
"CAN","AIREMISSION","NOX","KG_CAP","A","2001",88.931,
"CAN","AIREMISSION","NOX","KG_CAP","A","2002",86.46,
"CAN","AIREMISSION","NOX","KG_CAP","A","2003",84.392,
"CAN","AIREMISSION","NOX","KG_CAP","A","2004",79.277,
"CAN","AIREMISSION","NOX","KG_CAP","A","2005",75.472,
"CAN","AIREMISSION","NOX","KG_CAP","A","2006",69.967,
"CAN","AIREMISSION","NOX","KG_CAP","A","2007",69.288,
"CAN","AIREMISSION","NOX","KG_CAP","A","2008",66.271,
"CAN","AIREMISSION","NOX","KG_CAP","A","2009",61.701,
"CAN","AIREMISSION","NOX","KG_CAP","A","2010",61.454,
"CAN","AIREMISSION","NOX","KG_CAP","A","2011",59.177,
"CAN","AIREMISSION","NOX","KG_CAP","A","2012",55.331,
"CAN","AIREMISSION","NOX","KG_CAP","A","2013",53.486,
"CAN","AIREMISSION","NOX","KG_CAP","A","2014",51.69,
"CAN","AIREMISSION","NOX","KG_CAP","A","2015",49.258,
"CAN","AIREMISSION","NOX","KG_CAP","A","2016",47.126,
"CAN","AIREMISSION","NOX","KG_CAP","A","2017",48.12,
"CAN","AIREMISSION","NOX","KG_CAP","A","2018",48.242,
"CZE","AIREMISSION","NOX","KG_CAP","A","2000",27.246,
"CZE","AIREMISSION","NOX","KG_CAP","A","2001",27.623,
"CZE","AIREMISSION","NOX","KG_CAP","A","2002",26.931,
"CZE","AIREMISSION","NOX","KG_CAP","A","2003",27.038,
"CZE","AIREMISSION","NOX","KG_CAP","A","2004",27.059,
"CZE","AIREMISSION","NOX","KG_CAP","A","2005",26.496,
"CZE","AIREMISSION","NOX","KG_CAP","A","2006",25.912,
"CZE","AIREMISSION","NOX","KG_CAP","A","2007",25.555,
"CZE","AIREMISSION","NOX","KG_CAP","A","2008",23.875,
"CZE","AIREMISSION","NOX","KG_CAP","A","2009",22.42,
"CZE","AIREMISSION","NOX","KG_CAP","A","2010",21.772,
"CZE","AIREMISSION","NOX","KG_CAP","A","2011",20.523,
"CZE","AIREMISSION","NOX","KG_CAP","A","2012",19.358,
"CZE","AIREMISSION","NOX","KG_CAP","A","2013",17.941,
"CZE","AIREMISSION","NOX","KG_CAP","A","2014",17.507,
"CZE","AIREMISSION","NOX","KG_CAP","A","2015",16.898,
"CZE","AIREMISSION","NOX","KG_CAP","A","2016",16.092,
"CZE","AIREMISSION","NOX","KG_CAP","A","2017",15.74,
"CZE","AIREMISSION","NOX","KG_CAP","A","2018",15.093,
"DNK","AIREMISSION","NOX","KG_CAP","A","2000",42.137,
"DNK","AIREMISSION","NOX","KG_CAP","A","2001",41.502,
"DNK","AIREMISSION","NOX","KG_CAP","A","2002",40.881,
"DNK","AIREMISSION","NOX","KG_CAP","A","2003",42.424,
"DNK","AIREMISSION","NOX","KG_CAP","A","2004",39.332,
"DNK","AIREMISSION","NOX","KG_CAP","A","2005",37.65,
"DNK","AIREMISSION","NOX","KG_CAP","A","2006",37.386,
