"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","AIREMISSION","SOX","KG_CAP","A","2000",123.387,
"AUS","AIREMISSION","SOX","KG_CAP","A","2001",134.678,
"AUS","AIREMISSION","SOX","KG_CAP","A","2002",143.058,
"AUS","AIREMISSION","SOX","KG_CAP","A","2003",141.408,
"AUS","AIREMISSION","SOX","KG_CAP","A","2004",126.392,
"AUS","AIREMISSION","SOX","KG_CAP","A","2005",124.901,
"AUS","AIREMISSION","SOX","KG_CAP","A","2006",120.948,
"AUS","AIREMISSION","SOX","KG_CAP","A","2007",116.867,
"AUS","AIREMISSION","SOX","KG_CAP","A","2008",117.752,
"AUS","AIREMISSION","SOX","KG_CAP","A","2009",119.444,
"AUS","AIREMISSION","SOX","KG_CAP","A","2010",107.345,
"AUS","AIREMISSION","SOX","KG_CAP","A","2011",111.239,
"AUS","AIREMISSION","SOX","KG_CAP","A","2012",109.946,
"AUS","AIREMISSION","SOX","KG_CAP","A","2013",103.821,
"AUS","AIREMISSION","SOX","KG_CAP","A","2014",105.946,
"AUS","AIREMISSION","SOX","KG_CAP","A","2015",99.641,
"AUS","AIREMISSION","SOX","KG_CAP","A","2016",101.618,
"AUS","AIREMISSION","SOX","KG_CAP","A","2017",93.007,
"AUS","AIREMISSION","SOX","KG_CAP","A","2018",85.188,
"AUT","AIREMISSION","SOX","KG_CAP","A","2000",3.904,
"AUT","AIREMISSION","SOX","KG_CAP","A","2001",3.999,
"AUT","AIREMISSION","SOX","KG_CAP","A","2002",3.848,
"AUT","AIREMISSION","SOX","KG_CAP","A","2003",3.802,
"AUT","AIREMISSION","SOX","KG_CAP","A","2004",3.224,
"AUT","AIREMISSION","SOX","KG_CAP","A","2005",3.133,
"AUT","AIREMISSION","SOX","KG_CAP","A","2006",3.222,
"AUT","AIREMISSION","SOX","KG_CAP","A","2007",2.807,
"AUT","AIREMISSION","SOX","KG_CAP","A","2008",2.425,
"AUT","AIREMISSION","SOX","KG_CAP","A","2009",1.756,
"AUT","AIREMISSION","SOX","KG_CAP","A","2010",1.896,
"AUT","AIREMISSION","SOX","KG_CAP","A","2011",1.788,
