"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2000",107.634,
"AUS","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2001",103.505,
"AUS","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2002",99.623,
"AUS","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2003",93.998,
"AUS","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2004",88.236,
"AUS","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2005",83.66,
"AUS","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2006",80.477,
"AUS","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2007",79.071,
"AUS","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2008",77.305,
"AUS","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2009",74.371,
"AUS","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2010",72.271,
"AUS","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2011",71.617,
"AUS","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2012",69.955,
"AUS","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2013",68.95,
"AUS","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2014",69.427,
"AUS","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2015",69.773,
"AUS","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2016",67.036,
"AUS","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2017",66.038,
"AUS","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2018",68.245,
"AUS","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2019",70.732,
"AUT","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2000",490.172,
"AUT","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2001",466.117,
"AUT","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2002",456.728,
"AUT","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2003",447.112,
"AUT","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2004",428.939,
"AUT","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2005",420.388,
"AUT","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2006",405.494,
"AUT","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2007",397.962,
"AUT","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2008",388.255,
"AUT","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2009",386.189,
"AUT","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2010",376.432,
"AUT","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2011",364.81,
"AUT","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2012",353.114,
"AUT","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2013",337.164,
"AUT","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2014",319.853,
"AUT","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2015",307.617,
"AUT","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2016",279.303,
"AUT","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2017",259.615,
"AUT","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2018",259.975,
"AUT","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2019",267.22,
"BEL","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2000",534.512,
"BEL","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2001",510.942,
"BEL","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2002",496.311,
"BEL","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2003",477.228,
"BEL","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2004",450.323,
"BEL","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2005",438.522,
"BEL","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2006",426.551,
"BEL","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2007",429.357,
"BEL","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2008",435.705,
"BEL","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2009",437.836,
"BEL","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2010",432.385,
"BEL","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2011",417.741,
"BEL","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2012",395.783,
"BEL","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2013",362.484,
"BEL","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2014",326.122,
"BEL","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2015",312.865,
"BEL","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2016",301.233,
"BEL","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2017",300.176,
"BEL","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2018",300.555,
"BEL","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2019",302.814,
"CAN","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2000",178.29,
"CAN","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2001",174.286,
"CAN","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2002",172.335,
"CAN","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2003",169.592,
"CAN","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2004",165.189,
"CAN","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2005",160.805,
"CAN","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2006",152.684,
"CAN","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2007",144.499,
"CAN","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2008",134.557,
"CAN","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2009",124.194,
"CAN","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2010",115.786,
"CAN","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2011",109.261,
"CAN","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2012",104.514,
"CAN","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2013",100.279,
"CAN","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2014",98.181,
"CAN","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2015",96.955,
"CAN","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2016",98.277,
"CAN","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2017",99.559,
"CAN","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2018",102.273,
"CAN","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2019",100.683,
"CZE","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2000",838.54,
"CZE","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2001",825.982,
"CZE","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2002",805.076,
"CZE","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2003",814.132,
"CZE","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2004",776.937,
"CZE","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2005",767.118,
"CZE","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2006",731.759,
"CZE","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2007",720.98,
"CZE","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2008",717.853,
