,country,year,coal_mw_new
0,Albania,2000,0
1,Argentina,2000,0
2,Australia,2000,0
3,Austria,2000,0
4,Bangladesh,2000,0
5,Belarus,2000,0
6,Belgium,2000,0
7,Bosnia and Herzegovina,2000,0
8,Botswana,2000,0
9,Brazil,2000,0
10,Brunei,2000,0
11,Bulgaria,2000,0
12,Cambodia,2000,0
13,Canada,2000,0
14,Chile,2000,0
15,China,2000,17410
16,Colombia,2000,0
17,Croatia,2000,210
18,Czech Republic,2000,271
19,Democratic Republic of Congo,2000,0
20,Denmark,2000,0
21,Dominican Republic,2000,0
22,Egypt,2000,0
23,El Salvador,2000,0
24,Ethiopia,2000,0
25,Finland,2000,0
26,France,2000,0
27,Georgia,2000,0
28,Germany,2000,1980
29,Ghana,2000,0
30,Greece,2000,0
31,Guadeloupe,2000,0
32,Guatemala,2000,139
33,Guinea,2000,0
34,Honduras,2000,0
35,Hong Kong,2000,0
36,Hungary,2000,0
37,India,2000,1705
38,Indonesia,2000,1832
39,Iran,2000,0
40,Ireland,2000,0
41,Israel,2000,550
42,Italy,2000,0
43,Ivory Coast,2000,0
44,Jamaica,2000,0
45,Japan,2000,4353
46,Jordan,2000,0
47,Kazakhstan,2000,50
48,Kenya,2000,0
49,Kosovo,2000,0
50,Kyrgyzstan,2000,90
51,Laos,2000,0
52,Latvia,2000,0
53,Madagascar,2000,0
54,Malawi,2000,0
55,Malaysia,2000,1000
56,Mauritius,2000,70
57,Mexico,2000,0
58,Moldova,2000,0
59,Mongolia,2000,0
60,Montenegro,2000,0
61,Morocco,2000,348
62,Mozambique,2000,0
63,Myanmar,2000,0
64,Namibia,2000,0
65,Netherlands,2000,0
66,New Zealand,2000,0
67,Niger,2000,0
68,Nigeria,2000,0
69,North Korea,2000,0
70,North Macedonia,2000,0
71,Oman,2000,0
72,Pakistan,2000,0
73,Panama,2000,0
74,Papua New Guinea,2000,0
75,Peru,2000,0
76,Philippines,2000,440
77,Poland,2000,0
78,Portugal,2000,0
79,Reunion,2000,0
80,Romania,2000,0
81,Russia,2000,0
82,Senegal,2000,0
83,Serbia,2000,0
84,Slovakia,2000,0
85,Slovenia,2000,0
86,South Africa,2000,716
87,South Korea,2000,1000
88,Spain,2000,0
89,Sri Lanka,2000,0
90,Sudan,2000,0
91,Eswatini,2000,0
92,Sweden,2000,0
93,Syria,2000,0
94,Taiwan,2000,1879
95,Tajikistan,2000,0
96,Tanzania,2000,0
97,Thailand,2000,0
98,Turkey,2000,317
99,Ukraine,2000,0
100,United Arab Emirates,2000,0
101,United Kingdom,2000,0
102,United States,2000,101
103,Uzbekistan,2000,300
104,Venezuela,2000,0
105,Vietnam,2000,0
106,Zambia,2000,0
107,Zimbabwe,2000,0
108,Albania,2001,0
109,Argentina,2001,0
110,Australia,2001,1071
111,Austria,2001,0
112,Bangladesh,2001,0
113,Belarus,2001,0
114,Belgium,2001,0
115,Bosnia and Herzegovina,2001,0
116,Botswana,2001,0
117,Brazil,2001,0
118,Brunei,2001,0
119,Bulgaria,2001,0
120,Cambodia,2001,0
121,Canada,2001,0
122,Chile,2001,0
123,China,2001,13358
124,Colombia,2001,0
125,Croatia,2001,0
126,Czech Republic,2001,30
127,Democratic Republic of Congo,2001,0
128,Denmark,2001,0
129,Dominican Republic,2001,0
