,country,alpha_3,year,coal_mw_new,coal_mw_retired,coal_mw_change
0,Albania,ALB,2000,0,0,0
1,Argentina,ARG,2000,0,0,0
2,Australia,AUS,2000,0,0,0
3,Austria,AUT,2000,0,0,0
4,Bangladesh,BGD,2000,0,0,0
5,Belarus,BLR,2000,0,0,0
6,Belgium,BEL,2000,0,272,-272
7,Bosnia and Herzegovina,BIH,2000,0,0,0
8,Botswana,BWA,2000,0,0,0
9,Brazil,BRA,2000,0,0,0
10,Brunei,BRN,2000,0,0,0
11,Bulgaria,BGR,2000,0,0,0
12,Cambodia,KHM,2000,0,0,0
13,Canada,CAN,2000,0,60,-60
14,Chile,CHL,2000,0,0,0
15,China,CHN,2000,17410,386,17024
16,Colombia,COL,2000,0,0,0
17,Croatia,HRV,2000,210,0,210
18,Czech Republic,CZE,2000,271,0,271
19,Democratic Republic of Congo,COD,2000,0,0,0
20,Denmark,DNK,2000,0,0,0
21,Dominican Republic,DOM,2000,0,0,0
22,Egypt,EGY,2000,0,0,0
23,El Salvador,SLV,2000,0,0,0
24,Ethiopia,ETH,2000,0,0,0
25,Finland,FIN,2000,0,0,0
26,France,FRA,2000,0,250,-250
27,Georgia,GEO,2000,0,0,0
28,Germany,DEU,2000,1980,1230,750
29,Ghana,GHA,2000,0,0,0
30,Greece,GRC,2000,0,0,0
31,Guadeloupe,GLP,2000,0,0,0
32,Guatemala,GTM,2000,139,0,139
33,Guinea,GIN,2000,0,0,0
34,Honduras,HND,2000,0,0,0
35,Hong Kong,HKG,2000,0,0,0
36,Hungary,HUN,2000,0,0,0
37,India,IND,2000,1705,97,1608
38,Indonesia,IDN,2000,1832,0,1832
39,Iran,IRN,2000,0,0,0
40,Ireland,IRL,2000,0,0,0
41,Israel,ISR,2000,550,0,550
42,Italy,ITA,2000,0,0,0
43,Ivory Coast,CIV,2000,0,0,0
44,Jamaica,JAM,2000,0,0,0
45,Japan,JPN,2000,4353,0,4353
46,Jordan,JOR,2000,0,0,0
47,Kazakhstan,KAZ,2000,50,0,50
48,Kenya,KEN,2000,0,0,0
49,Kosovo,,2000,0,0,0
50,Kyrgyzstan,KGZ,2000,90,0,90
51,Laos,LAO,2000,0,0,0
52,Latvia,LVA,2000,0,0,0
53,Madagascar,MDG,2000,0,0,0
54,Malawi,MWI,2000,0,0,0
55,Malaysia,MYS,2000,1000,0,1000
56,Mauritius,MUS,2000,70,0,70
57,Mexico,MEX,2000,0,0,0
58,Moldova,MDA,2000,0,0,0
59,Mongolia,MNG,2000,0,0,0
60,Montenegro,MNE,2000,0,0,0
61,Morocco,MAR,2000,348,0,348
62,Mozambique,MOZ,2000,0,0,0
63,Myanmar,MMR,2000,0,0,0
64,Namibia,NAM,2000,0,0,0
65,Netherlands,NLD,2000,0,0,0
66,New Zealand,NZL,2000,0,0,0
67,Niger,NER,2000,0,0,0
68,Nigeria,NGA,2000,0,0,0
69,North Korea,KOR,2000,0,0,0
70,North Macedonia,MKD,2000,0,0,0
71,Oman,OMN,2000,0,0,0
72,Pakistan,PAK,2000,0,0,0
73,Panama,PAN,2000,0,0,0
74,Papua New Guinea,PNG,2000,0,0,0
75,Peru,PER,2000,0,0,0
76,Philippines,PHL,2000,440,0,440
77,Poland,POL,2000,0,0,0
78,Portugal,PRT,2000,0,50,-50
79,Reunion,REU,2000,0,0,0
80,Romania,ROU,2000,0,0,0
81,Russia,RUS,2000,0,150,-150
82,Senegal,SEN,2000,0,0,0
83,Serbia,SRB,2000,0,0,0
84,Slovakia,SVK,2000,0,0,0
