Retired Coal Plants by Country (MW),,,,,,,,,,,,,,,,,,,,,,,,
"Global Coal Plant Tracker, January 2021",,,,,,,,,,,,,,,,,,,,,,,,
Global Energy Monitor,,source: https://docs.google.com/spreadsheets/d/1xUOYq8tUZi2dcHLRZ3W1viZHyGgUlbrMxG5xIXyTOug,,,,,,,,,,,,,,,,,,,,,,
Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Undated,Dated 2000-2020,All retired (includes dated and undated)
Albania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,0,0,396,0,0,0,0,0,0,0,490,125,905,0,"1,301",590,760,"1,840",0,0,0,600,"6,407","7,007"
Austria,0,137,0,0,0,0,330,0,66,0,55,192,0,0,0,450,165,0,0,352,246,105,"1,993","2,098"
Bangladesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belarus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgium,272,133,0,0,0,0,341,0,0,252,457,0,260,590,0,0,560,0,0,0,0,125,"2,865","2,990"
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Botswana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,446,0,0,0,0,518,518
Brunei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria,0,0,0,0,120,0,0,0,0,0,0,0,0,210,210,840,0,0,0,0,0,0,"1,380","1,380"
Cambodia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,60,0,0,0,0,"2,658",0,0,0,0,"2,319",980,0,"3,086",162,0,0,0,665,149,380,0,"10,459","10,459"
Chile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325,248,0,573,573
China,386,100,350,0,228,50,562,"9,986","9,715","10,425","9,847","3,954","3,660","2,988","8,767","6,049","5,535","7,710","10,799","7,137","8,628","4,994","106,876","111,869"
Colombia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czech Republic,0,0,0,0,0,0,0,0,30,0,0,0,630,0,0,0,420,0,0,200,"1,170",694,"2,450","3,144"
Democratic Republic of Congo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denmark,0,0,262,0,70,0,0,0,0,143,326,0,266,0,305,0,"1,131",0,0,"1,057",263,0,"3,823","3,823"
