,LOCATION,TIME,Value_PM,Value_MR,Value_CO2,Value_NOx,Value_SOx
0,AUS,2000,7.36613,107.634,17.6,98.775,123.387
1,AUS,2005,6.90976,83.66,18.1,108.74600000000001,124.90100000000001
2,AUS,2010,6.78718,72.271,17.4,105.63600000000001,107.345
3,AUS,2011,6.71166,71.617,17.1,100.62700000000001,111.23899999999999
4,AUS,2012,7.00126,69.955,16.8,106.465,109.946
5,AUS,2013,6.96483,68.95,16.2,107.796,103.821
6,AUS,2014,6.877489999999999,69.42699999999999,15.6,107.098,105.946
7,AUS,2015,6.8475600000000005,69.773,15.6,105.791,99.641
8,AUS,2016,6.8223199999999995,67.036,15.7,106.678,101.618
9,AUS,2017,6.67271,66.038,15.6,108.29899999999999,93.007
10,AUS,2018,6.7411,68.245,15.3,109.319,85.18799999999999
11,AUS,2019,6.7487,70.732,15.3,,
12,AUT,2000,17.42909,490.17199999999997,7.7,25.987,3.904
13,AUT,2005,16.554289999999998,420.38800000000003,9.1,29.609,3.133
14,AUT,2010,15.872060000000001,376.43199999999996,8.2,23.840999999999998,1.896
15,AUT,2011,16.2518,364.81,7.9,22.748,1.788
16,AUT,2012,14.629760000000001,353.11400000000003,7.5,22.016,1.735
17,AUT,2013,14.622079999999999,337.164,7.6,21.778000000000002,1.676
18,AUT,2014,12.9131,319.853,7.1,20.627,1.676
19,AUT,2015,13.452689999999999,307.617,7.1,20.125999999999998,1.599
20,AUT,2016,12.39107,279.303,7.1,19.250999999999998,1.511
21,AUT,2017,12.02271,259.615,7.3,18.147000000000002,1.445
22,AUT,2018,12.3846,259.975,7.0,16.757,1.3119999999999998
23,AUT,2019,12.22494,267.22,7.1,,
24,BEL,2000,17.75129,534.512,11.1,34.235,16.525
25,BEL,2005,15.90076,438.522,10.3,30.18,13.504000000000001
26,BEL,2010,16.982310000000002,432.385,9.5,21.74,5.439
27,BEL,2011,16.24259,417.741,8.4,20.079,4.7589999999999995
28,BEL,2012,15.200679999999998,395.783,8.3,18.958,4.217
29,BEL,2013,14.30519,362.48400000000004,8.4,17.977999999999998,3.803
30,BEL,2014,12.90808,326.122,7.8,17.015,3.5780000000000003
31,BEL,2015,13.265,312.865,8.2,16.974,3.6060000000000003
32,BEL,2016,12.43661,301.233,8.1,15.942,3.498
33,BEL,2017,12.891210000000001,300.176,8.0,14.914000000000001,3.35
34,BEL,2018,12.8198,300.555,8.0,14.369000000000002,3.299
35,BEL,2019,12.7263,302.814,7.9,,
36,CAN,2000,9.20386,178.29,16.4,94.065,78.33
37,CAN,2005,9.020380000000001,160.805,16.7,75.472,67.436
38,CAN,2010,7.9015699999999995,115.786,15.5,61.45399999999999,39.931
39,CAN,2011,7.34895,109.26100000000001,15.7,59.177,36.914
40,CAN,2012,7.610869999999999,104.514,15.5,55.331,36.145
41,CAN,2013,7.28206,100.279,15.6,53.486000000000004,35.263000000000005
42,CAN,2014,7.497999999999999,98.181,15.6,51.69,33.613
43,CAN,2015,7.2834,96.955,15.4,49.258,29.656
44,CAN,2016,6.20744,98.277,15.0,47.126000000000005,28.935
45,CAN,2017,7.278230000000001,99.559,15.1,48.12,26.094
