,LOCATION,TIME,Value_PM,Value_MR,Value_CO2,Value_NOx,Value_SOx
336,USA,2000,11.95909,319.447,20.3,71.194,51.886
337,USA,2005,10.94197,262.862,19.3,61.73,44.147
338,USA,2010,9.23072,188.705,17.3,42.946000000000005,22.309
339,USA,2011,9.27236,181.52700000000002,16.4,41.408,18.439
340,USA,2012,8.8823,173.96,15.6,39.27,14.289000000000001
341,USA,2013,8.654910000000001,167.357,15.9,37.173,13.600999999999999
342,USA,2014,8.44529,160.885,15.8,35.274,13.014000000000001
343,USA,2015,8.17797,155.408,15.4,32.944,10.879000000000001
344,USA,2016,7.39055,146.827,15.0,31.230999999999998,8.742
345,USA,2017,7.757630000000001,140.084,14.6,29.555999999999997,6.697
346,USA,2018,7.7876199999999995,142.616,15.0,,6.414
347,USA,2019,7.67611,145.26,14.5,,
